id,img_1,img_2,score,similarity_type,lien_interne
30040874,"wit75_pdf75_0106_761,449,318,245.jpg","wit75_pdf75_0459_85,1287,396,370.jpg",76.1824,1,True
30040876,"wit75_pdf75_0106_1131,1046,262,274.jpg","wit75_pdf75_0459_85,1287,396,370.jpg",56.11254,1,True
30040878,"wit75_pdf75_0106_491,454,251,212.jpg","wit75_pdf75_0459_85,1287,396,370.jpg",76.60818,1,True
30040884,"wit75_pdf75_0106_704,1581,201,249.jpg","wit75_pdf75_0459_917,1166,188,376.jpg",36.41021,1,True
30039262,"wit75_pdf75_0106_1126,1340,274,240.jpg","wit75_pdf75_0459_930,1490,174,338.jpg",34.32403,1,True
30039207,"wit75_pdf75_0106_1043,2081,204,232.jpg","wit75_pdf75_0459_930,1490,174,338.jpg",51.78989,1,True
30039364,"wit75_pdf75_0106_32,755,262,324.jpg","wit75_pdf75_0459_943,1865,424,387.jpg",32.21067,1,True
30040906,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0564_1067,2016,348,328.jpg",50.22409,1,True
30040909,"wit75_pdf75_0106_375,1857,224,216.jpg","wit75_pdf75_0564_1067,2016,348,328.jpg",47.68058,1,True
30040910,"wit75_pdf75_0106_704,1581,201,249.jpg","wit75_pdf75_0564_1089,993,352,355.jpg",30.25672,1,True
30040941,"wit75_pdf75_0106_264,262,263,180.jpg","wit75_pdf75_0564_22,981,484,433.jpg",56.67032,1,True
30040942,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0564_22,981,484,433.jpg",46.72804,1,True
30040945,"wit75_pdf75_0106_869,787,252,236.jpg","wit75_pdf75_0564_22,981,484,433.jpg",47.23193,1,True
30039453,"wit75_pdf75_0106_48,1596,224,252.jpg","wit75_pdf75_0564_22,981,484,433.jpg",51.3371,1,True
30612614,"wit75_pdf75_0106_864,246,257,220.jpg","wit75_pdf75_0564_343,1426,754,273.jpg",38.24668,1,True
30039549,"wit75_pdf75_0106_640,843,258,175.jpg","wit75_pdf75_0564_343,1426,754,273.jpg",43.65366,1,True
30039580,"wit75_pdf75_0106_704,1581,201,249.jpg","wit75_pdf75_0564_36,1411,278,297.jpg",65.89591,1,True
30039245,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0564_36,1411,278,297.jpg",83.63549,1,True
30039214,"wit75_pdf75_0106_1043,2081,204,232.jpg","wit75_pdf75_0564_36,1722,325,331.jpg",36.17837,1,True
30039284,"wit75_pdf75_0106_1131,1046,262,274.jpg","wit75_pdf75_0564_40,609,353,327.jpg",30.1377,1,True
30039571,"wit75_pdf75_0106_70,2061,264,240.jpg","wit75_pdf75_0564_563,250,431,316.jpg",43.81296,1,True
30041013,"wit75_pdf75_0106_1125,248,220,222.jpg","wit75_pdf75_0564_563,250,431,316.jpg",28.93782,1,True
30041018,"wit75_pdf75_0106_489,1643,223,183.jpg","wit75_pdf75_0564_837,572,286,296.jpg",62.46815,1,True
30039299,"wit75_pdf75_0106_1174,1586,198,237.jpg","wit75_pdf75_0564_837,572,286,296.jpg",61.63179,1,True
30041024,"wit75_pdf75_0106_888,1854,218,207.jpg","wit75_pdf75_0564_837,572,286,296.jpg",31.25677,1,True
30039579,"wit75_pdf75_0106_704,1581,201,249.jpg","wit75_pdf75_0564_943,1713,451,341.jpg",44.10509,1,True
30041027,"wit75_pdf75_0106_70,2061,264,240.jpg","wit75_pdf75_0564_943,1713,451,341.jpg",45.17854,1,True
30041030,"wit75_pdf75_0106_54,229,219,217.jpg","wit75_pdf75_0564_943,1713,451,341.jpg",44.69119,1,True
30041074,"wit75_pdf75_0106_70,2061,264,240.jpg","wit75_pdf75_0795_1396,1646,156,249.jpg",28.01556,1,True
30041075,"wit75_pdf75_0106_338,1340,196,250.jpg","wit75_pdf75_0795_1396,1646,156,249.jpg",41.62247,1,True
30041082,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0795_1546,1771,190,167.jpg",59.06097,1,True
30041088,"wit75_pdf75_0106_982,1029,148,350.jpg","wit75_pdf75_0795_526,190,383,494.jpg",30.10415,1,True
30041096,"wit75_pdf75_0106_728,1022,228,382.jpg","wit75_pdf75_0795_82,445,131,315.jpg",27.94857,1,True
30041097,"wit75_pdf75_0106_500,1305,210,355.jpg","wit75_pdf75_0795_82,445,131,315.jpg",42.56808,1,True
30041109,"wit75_pdf75_0106_1131,1046,262,274.jpg","wit75_pdf75_0795_88,170,342,263.jpg",28.08573,1,True
30041124,"wit75_pdf75_0106_247,1606,238,239.jpg","wit75_pdf75_0852_37,1221,373,330.jpg",33.96944,1,True
30041126,"wit75_pdf75_0106_491,454,251,212.jpg","wit75_pdf75_0852_37,1221,373,330.jpg",28.95433,1,True
30041135,"wit75_pdf75_0106_264,262,263,180.jpg","wit75_pdf75_0888_1025,1100,269,199.jpg",26.56957,1,True
30041137,"wit75_pdf75_0106_698,1402,226,193.jpg","wit75_pdf75_0888_1025,1100,269,199.jpg",44.78316,1,True
30039463,"wit75_pdf75_0106_48,1596,224,252.jpg","wit75_pdf75_0888_1101,575,288,272.jpg",61.22507,1,True
30041184,"wit75_pdf75_0106_584,255,271,200.jpg","wit75_pdf75_0888_1201,2116,328,137.jpg",57.948,1,True
30041185,"wit75_pdf75_0106_944,1402,190,188.jpg","wit75_pdf75_0888_1201,2116,328,137.jpg",65.76554,1,True
30041187,"wit75_pdf75_0106_869,787,252,236.jpg","wit75_pdf75_0888_1201,2116,328,137.jpg",32.37294,1,True
30041188,"wit75_pdf75_0106_1127,794,268,220.jpg","wit75_pdf75_0888_1201,2116,328,137.jpg",30.00116,1,True
30041194,"wit75_pdf75_0106_45,1208,200,123.jpg","wit75_pdf75_0888_1201,2116,328,137.jpg",35.09711,1,True
30041195,"wit75_pdf75_0106_54,229,219,217.jpg","wit75_pdf75_0888_1201,2116,328,137.jpg",54.25635,1,True
30041205,"wit75_pdf75_0106_640,843,258,175.jpg","wit75_pdf75_0888_1244,2225,300,194.jpg",38.81053,1,True
30041207,"wit75_pdf75_0106_489,1643,223,183.jpg","wit75_pdf75_0888_1244,2225,300,194.jpg",63.18414,1,True
