id,img_1,img_2,score,similarity_type,lien_interne
30040583,"wit75_pdf75_0459_1129,1562,248,247.jpg","wit75_pdf75_0892_526,1780,159,190.jpg",97.15015,1,True
30040776,"wit75_pdf75_0459_577,1739,460,373.jpg","wit75_pdf75_0892_526,1780,159,190.jpg",31.70314,1,True
30615274,"wit75_pdf75_0459_470,1455,249,215.jpg","wit75_pdf75_0892_686,1017,199,174.jpg",55.16018,1,True
30042285,"wit75_pdf75_0459_470,1455,249,215.jpg","wit75_pdf75_0892_688,2150,214,207.jpg",58.23144,1,True
30042289,"wit75_pdf75_0459_38,1949,216,247.jpg","wit75_pdf75_0892_688,2150,214,207.jpg",37.01899,1,True
30040782,"wit75_pdf75_0459_577,1739,460,373.jpg","wit75_pdf75_0892_699,1789,192,148.jpg",25.95306,1,True
30042303,"wit75_pdf75_0459_1129,1562,248,247.jpg","wit75_pdf75_0892_699,1789,192,148.jpg",39.14754,1,True
30042306,"wit75_pdf75_0459_1131,188,231,310.jpg","wit75_pdf75_0892_699,1789,192,148.jpg",27.8938,1,True
30040721,"wit75_pdf75_0459_44,185,243,337.jpg","wit75_pdf75_0892_850,394,191,188.jpg",38.25525,1,True
30040556,"wit75_pdf75_0459_1061,1170,317,276.jpg","wit75_pdf75_0892_900,1959,155,190.jpg",38.43476,1,True
30040823,"wit75_pdf75_0459_705,1487,253,267.jpg","wit75_pdf75_0892_900,1959,155,190.jpg",28.6419,1,True
30040850,"wit75_pdf75_0459_768,502,294,361.jpg","wit75_pdf75_0892_902,1760,186,203.jpg",35.94197,1,True
30042388,"wit75_pdf75_0459_577,1739,460,373.jpg","wit75_pdf75_0892_937,811,234,214.jpg",35.25918,1,True
30040555,"wit75_pdf75_0459_1061,1170,317,276.jpg","wit75_pdf75_0892_98,1010,226,188.jpg",69.39146,1,True
30042403,"wit75_pdf75_0459_1131,188,231,310.jpg","wit75_pdf75_0892_98,1010,226,188.jpg",27.87766,1,True
30042437,"wit75_pdf75_0459_749,859,357,308.jpg","wit75_pdf75_1035_38,983,251,299.jpg",27.17876,1,True
30042438,"wit75_pdf75_0459_768,502,294,361.jpg","wit75_pdf75_1035_38,983,251,299.jpg",49.96664,1,True
30042445,"wit75_pdf75_0459_1046,840,336,308.jpg","wit75_pdf75_1035_423,559,260,209.jpg",27.82425,1,True
30040577,"wit75_pdf75_0459_1119,1423,198,152.jpg","wit75_pdf75_0892_1073,433,163,205.jpg",38.97584,1,True
30040578,"wit75_pdf75_0459_1119,1423,198,152.jpg","wit75_pdf75_0888_1101,575,288,272.jpg",39.71895,1,True
30040580,"wit75_pdf75_0459_85,1287,396,370.jpg","wit75_pdf75_0459_1119,1423,198,152.jpg",54.48445,1,True
30040581,"wit75_pdf75_0459_1119,1423,198,152.jpg","wit75_pdf75_0892_521,221,181,227.jpg",40.63421,1,True
30040582,"wit75_pdf75_0459_1119,1423,198,152.jpg","wit75_pdf75_0892_523,430,186,178.jpg",29.45455,1,True
30040691,"wit75_pdf75_0459_412,442,267,199.jpg","wit75_pdf75_0892_514,1198,192,207.jpg",42.93443,1,True
30040701,"wit75_pdf75_0459_426,173,163,256.jpg","wit75_pdf75_0892_1550,848,202,169.jpg",30.04738,1,True
