id,img_1,img_2,score,similarity_type,lien_interne
29999172,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0167_637,694,199,209.jpg",35.06637,1,True
29999171,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0842_765,954,460,301.jpg",28.8496,1,True
30003706,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0901_832,1444,206,208.jpg",35.77298,1,True
29999168,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0813_1152,1755,504,395.jpg",25.98211,1,True
29999169,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0319_564,1827,435,415.jpg",34.36751,1,True
29999170,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0207_1004,1647,512,726.jpg",27.74671,1,True
29999173,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0043_72,1768,305,289.jpg",36.02176,1,True
29999174,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0128_1054,671,255,278.jpg",40.54258,1,True
29999269,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0128_69,118,245,258.jpg",39.59735,1,True
30003844,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0901_982,1257,224,210.jpg",27.29816,1,True
29999259,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0128_1089,1854,223,270.jpg",35.94174,1,True
29999175,"wit76_pdf76_0012_85,1069,341,186.jpg","wit76_pdf76_0321_983,558,198,222.jpg",34.54531,1,True
30340663,"wit76_pdf76_0012_85,1069,341,186.jpg","wit116_man116_0256_183,61,683,445.jpg",74.89883,1,False
30340665,"wit76_pdf76_0012_85,1069,341,186.jpg","wit116_man116_0250_301,1421,272,241.jpg",31.17045,1,False
30340666,"wit76_pdf76_0012_85,1069,341,186.jpg","wit116_man116_0250_910,1847,351,431.jpg",32.0641,1,False
30340668,"wit76_pdf76_0012_85,1069,341,186.jpg","wit116_man116_0252_1392,1220,491,272.jpg",28.6184,1,False
